hsn_code,description
8430.41,Self-propelled
8430.41.10,Tube well drilling & core drilling machinery
8430.41.20,Petroleum & gas well drilling machinery
8430.41.30,Rock drilling machinery
8430.41.90,Other
8430.49,Other
8430.49.00,Other
8430.50,"Other machinery, Self-propelled"
8430.50.10,Mining machinery (excluding coal mining)
8430.50.90,"Other <br> Other machinery, not self-propelled:"
8430.61,Tamping or compacting machinery
8430.61.00,Tamping or compacting machinery
8430.69,Other
8430.69.00,Other
8431.10,Of machinery of heading 8425
8431.10.10,"Of pulley tackle hoists, other than skip hoists, winches or capstans"
8431.10.90,Other
8431.20,Of machinery of heading 8427
8431.20.10,Of fork lift trucks
8431.20.90,Other <br> Of machinery of heading 8428:
8431.31,"of lifts, skip hoists or escalators"
8431.31.00,"Of lifts, skip hoists or escalators"
8431.39,Other
8431.39.10,"Of elevators, conveyors & moving equipments"
8431.39.90,"Other <br> Of machinery of heading 8426, 8429 or 8430:"
8431.41,"Buckets, shovels, grabs and grips"
8431.41.00,"Buckets, shovels, grabs, and grips"
8431.42,Bulldozer or angledozer blades
8431.42.00,Bulldozers or angel dozer blades
8431.43.10,"Of boring or sinking machinery, self-propelled"
8431.43.90,Other
8431.49,Other
8431.49.10,"Of road rollers, mechanically propelled"
8431.49.20,Of ships derricks and cranes
8431.49.40,"Of pile driver, snow plough, not self-propelled"
8431.49.90,Other
8432.10,ploughs
8432.10.10,Disc ploughs
8432.10.20,Other tractor ploughs
8432.10.90,"Other <br> Harrows, sacrifiers, cultivators, weeders and hoes:"
8432.21,Disc harrows
8432.21.00,Disc harrows
8432.29,Other
8432.29.10,Rotary hoes
8432.29.90,Other
8432.30,"Seeders, planters and transplanters"
84323100,"No-till direct seeders, planters and transplanters"
84333900,Other
8432.40,Manure spreaders and fertiliser distributors
84324100,Manure spreaders
84324200,Fertiliser distributors
8432.80,Other machinery
8432.80.10,Lawn and sports ground rollers
8432.80.20,Rotary tiller
8432.80.90,Other
8432.90,Parts
8432.90.90,Other
8433.11,"Powered, with the cutting device rotating in a horizontal plane"
8433.11.10,Powered with 3 HP or more
8433.11.90,Other
8433.19,Other
8433.19.10,"Powered mowers, having width of 75 cm or more"
8433.19.90,Other
8433.20,"Other mowers, including cutter bars for tractor mounting"
8433.20.00,"Other mowers, including cutter bars or tractor mounting"
8433.30,Other haymaking machinery
8433.30.00,Other hay making machinery
8433.40,"straw or fodder balers, including pick-up balers"
8433.51,Combine harvester-threshers
8433.51.00,Combine harvester-threshers
8433.52,Other threshing machinery
8433.52.00,Other threshing machinery
8433.53,Root or tuber harvesting machines
8433.53.00,Root or tuber harvesting machines
8433.59,Other
8433.59.00,Other
8433.60.10,Machines for cleaning
8433.60.20,Machine for sorting or grading
8433.90,Parts
8433.90.00,Parts
8434,Milking machines and dairy machinery.
8434.10,Milking machines
8434.10.00,Milking machines
8434.20,Dairy machinery
8434.20.00,Dairy machinery
8434.90,Parts
8434.90.10,Of milking machinery
8434.90.20,Of dairy machinery
8435.10,machinery
8435.10.00,Machinery
8435.90,Parts
8435.90.00,Parts
8436,"keeping machinery, including germination plant fitted with"
8436.10,machinery for preparing animal feeding stuffs
8436.21,Poultry incubators and brooders
8436.21.00,Poultry incubators and brooders:
8436.29,Other
8436.29.00,Other
8436.80,Other machinery
8436.80.10,Germination plant fitted with mechanical and thermal equipment
8436.80.90,Other <br> Parts:
8436.91,of Poultry-keeping machinery or Poultry incubators and brooders
8436.91.00,Of poultry-keeping machinery or poultry incubators and brooders
8436.99,Other
8436.99.00,Other
8437.80,Other machinery
8437.80.10,Flour mill machinery
8437.80.20,Rice mill machinery
8437.80.90,Other
8437.90,Parts
8437.90.10,Of flour mill machinery
8437.90.20,Of rice mill machinery
8437.90.90,Other machinery
8438.10.10,Bakery machinery
8438.10.20,Machinery for manufacture of macaroni / spaghetti or similar products
8438.20,"machinery for the manufacture of confectionery, Cocoa or chocolate"
8438.20.00,"Machinery for the manufacture of confectionery, coca or chocolate"
8438.30,machinery for sugar manufacture
8438.30.10,Sugar crane crushers
8438.30.90,Other
8438.40,Brewery machinery
8438.40.00,Brewery machinery
8438.50,machinery for the preparation of Meat or Poultry
8438.50.00,Machinery for the preparation of meat or poultry
8438.60,"machinery for the preparation of Fruits, nuts or vegetables"
8438.60.00,"Machinery for the preparation of fruits, nuts or vegetables :"
8438.80,Other machinery
8438.80.10,Auxiliary equipment for extrusion cooking plant
8438.80.20,For production of soya milk or other soya products (except soya oil)
8438.80.30,Diffusing machines (diffusers)
8438.80.40,Tea leaf rolling or cutting machine
8438.80.90,Other
8438.90,Parts
8438.90.10,Of sugar manufacturing machinery
8438.90.90,Of other machinery
8439.10,machinery for making pulp of fibrous cellulosic material
8439.10.00,Machinery for making pulp of fibrous cellulosic material
8439.20,machinery for making paper or paperboard
8439.20.00,Machinery for making paper or paper board
8439.30,machinery for finishing paper or paperboard
8439.30.10,Paper laminating machine
8439.30.90,Other <br> Parts:
8439.91,of machinery for making pulp of fibrous cellulosic material
8439.91.00,Of machinery for making pulp of fibrous cellulosic material
8439.99,Other
8439.99.00,Other
8440,"Book-binding machinery, including book-sewing machines."
8440.10,machinery
8440.10.10,"Wire stitching machinery, single headed"
8440.10.90,Other
8440.90,Parts
8440.90.00,Parts
8441.10,cutting machines
8441.10.90,Other
8441.20,"machines for making bags, Sacks or Envelopes"
8441.20.00,"Machines for making bags, sacks or envelops"
8441.40,"machines for moulding articles in paper pulp, paper or paperboard"
8441.40.00,"Machines for moulding articles in paper pulp, paper or paper board"
8441.80,Other machinery
8441.80.00,Other machinery
8441.90,Parts
8441.90.00,Parts
8442,"MAKING PLATES, PRINTING COMPONENTS; PLATES, CYLINDERS"
8442.30,"machinery, apparatus and equipment"
8442.30.10,Brass rules
8442.30.20,Chases
8442.30.90,Other
8442.40,"Parts of the foregoing machinery, apparatus or equipment"
8442.40.00,"Parts of the foregoing machinery, apparatus or equipment"
8442.50,"and lithographic stones, prepared for printing purposes (for"
8442.50.20,Lithographic plates
8442.50.31,Plate and cylinder for textile printing machine
8442.50.39,Other
8442.50.40,Highly polished copper sheets for making process blocks
8442.50.50,Highly polished zinc sheets for making process blocks
8442.50.90,Other
8443.11,"Offset printing machinery, reel-fed"
8443.11.00,"Offset printing machinery,reel fed"
8443.12,one side not exceeding 22 cm and the other side not exceeding 36
8443.13,Other Offset printing machinery
8443.13.00,Other offset printing machinery
8443.14.00,"Letterpress printing machinery,reel feed,excluding flexography printing"
8443.16,flexographic printing machinery
8443.16.00,Flexography printing machinery
8443.17,Gravure printing machinery
8443.17.00,Gravure printing machinery <br> Other printing machinery:
8443.19,Other
8443.19.10,Flat bed printing presses
8443.19.20,Platen printing presses
8443.19.41,Machinery for printing repetitive word or design or colour-on cooton textile
8443.19.49,Other
8443.31,"copying or facsimile transmission, capable of connecting to an"
8443.31.00,"or fascimile transmission,capable of connecting to an automatic data"
8443.32.10,Line printer
8443.32.20,Dot matrix printer
8443.32.30,Letter quality daisy wheel printer
8443.32.40,Laser jet printer
8443.32.50,Ink jet printer
8443.32.60,Facsimile machine
8443.32.90,Other
8443.39,Other
8443.39.10,Ink jet printing machine
8443.39.40,Other photocopying apparatus incorporating an optical system
8443.39.50,Other photocopying apparatus of contact type
8443.39.60,Thermo-copying apparatus
8443.39.90,OTHER <br> Parts and accessories:
8443.91,"means of plates, cylinders and other printing components of"
8443.91.00,"for printing by means of plates,cylinders and other printing components of"
8443.99,Other
8443.99.10,Automatic documents feeders of copying machine
8443.99.20,Paper feeders of copying machines
8443.99.30,Sorters of copying machine
8443.99.51,"Ink cartridges,with print head assembly"
8443.99.52,"Ink cartridges,without print head assembly"
8443.99.53,Ink spray nozzle
8443.99.59,Other
8443.99.60,Parts and accessories of goods of sub-heading 844339
8443.99.90,Other
8444.00.10,Machines for extruding man-made textile materials
8444.00.90,Other
8445,reeling or winding (including weft-winding) machines and machines
8445.11,Carding machines
8445.11.10,Cotton carding machines
8445.11.90,Other
8445.12,Combing machines
8445.12.10,Cotton combing machines
8445.12.90,Other
8445.13,Drawing or roving machines
8445.13.00,Drawing or roving machines
8445.19,Other
8445.19.10,Cotton processing machines (including cotton ginning machine)
8445.19.20,Jute fibre processing machines
8445.19.30,Regenerated fibres & synthetic fibres processing machines
8445.19.40,Silk processing machines
8445.19.50,Wool processing machines
8445.19.60,Blowroom machines
8445.19.90,Other
8445.20,textile spinning machines <br> cotton spinning machines
8445.20.11,Drawing frames
8445.20.12,Intermediate frames
8445.20.13,Ring frames
8445.20.14,Roving frames
8445.20.19,Other
8445.20.20,Jute fibres spinning machines
8445.20.30,Regenerated fibres & synthetic fibres spinning machines
8445.20.40,Silk fibres spinning machines
8445.20.50,Wool spinning machines
8445.20.90,Other
8445.30.11,Doubling frames
8445.30.19,Other
8445.30.20,Jute fibre doubling/twisting machines
8445.30.30,Regenerated fibre and synthetic fibre yarn doubling/twisting machines
8445.30.40,Silk fibre doubling/twisting machines
8445.30.50,Wool fibre doubling/twisting machines
8445.30.90,Other fibre doubling/twisting machines
8445.40,- Textile winding (including weft-winding) or reeling machines
8445.40.20,Jute fibre reeling (including weft-winding) machines
8445.40.40,Silk fibre reeling (including weft-winding) machines
8445.40.50,Wool fibre reeling (including weft-winding) machines
8445.40.90,Other
8445.90,Other
8445.90.00,Other
8446,Weaving machines (looms).
8446.10.11,"Automatic, powerloom"
8446.10.12,"Plain, powerloom"
8446.10.19,Other
8446.10.90,"Other <br> For weaving fabrics of a width exceeding 30 cm, shuttle type:"
8446.21,power looms
8446.21.10,"Cotton weaving machines, automatic"
8446.21.90,Other
8446.29,Other
8446.29.10,Cotton weaving machines
8446.29.90,Other
8446.30.11,"Automatic, powerloom"
8446.30.12,"Plain, powerloom"
8446.30.19,Other
8446.30.90,Other
8447,"making gimped yarn, tulle, lace, embroidery, trimmings, braid or net"
8447.11.11,Hand knitting machines
8447.11.19,Other
8447.11.20,Cotton hosiery machines
8447.11.90,Other
8447.12.11,Hand knitting machines
8447.12.19,Other
8447.12.20,Cotton hosiery machines
8447.12.90,Other
8447.20,- Flat knitting machines; stitch-bonding machines
8447.20.10,Hand knitting machines for wool
8447.20.20,Other knitting machines for wool
8447.20.30,Cotton hosiery machines
8447.20.90,Other
8447.90,Other
8447.90.10,Machines for manufacture of tulle and lace
8447.90.20,Machines for making embroidery
8447.90.30,Other
8448,suitable for use solely or principally with the machines of this
8448.11.10,Jacquards and harness liner cards for cotton textile machinery
8448.11.90,Other
8448.19,Other
8448.19.00,Other
8448.20.00,machinery : <br> Parts and accessories of machines of heading 8445 or
8448.31,Card Clothing
8448.31.00,Card clothing
8448.32,"of machines for preparing textile fibres, Other than Card Clothing"
8448.32.10,For cotton processing machines
8448.32.20,For jute processing machines
8448.32.40,For wool processing machines
8448.32.90,Other
8448.33,"Spindles, spindle flyers, spinning rings and ring travellers"
8448.33.10,For cotton spinning machines
8448.33.20,For jute spinning machines
8448.33.30,For silk & man-made (regenerated & synthetic) fibre spinning machines
8448.33.40,For wool spinning machines
8448.33.90,For other textile fibre spinning machines
8448.39,Other
8448.39.10,Combs for cotton textile machinery
8448.39.20,Gills for gill boxes
8448.42,"Reeds for looms, healds and heald-frames"
8448.42.10,Healds and reeds (excluding wire healds) for cotton machinery
8448.42.20,"Healds, wire"
8448.42.90,Other
8448.49,Other
8448.49.10,Parts of cotton weaving machinery
8448.49.20,Parts of jute weaving machinery
8448.49.30,Parts of silk & man-made fibres weaving machinery
8448.49.40,Parts of wool weaving machinery
8448.49.50,Parts of other textile fibres machinery
8448.51,"Sinkers, needles and Other articles used in forming stitches"
8448.51.10,Of cotton hosiery machine
8448.51.20,Of wool knitting machines
8448.51.30,"Of machines for tulle, lace"
8448.51.90,Other
8448.59,Other
8448.59.00,Other
8449,"the piece or in shapes, including machinery for making felt hats;"
8449.00,"the piece or in shapes, including machinery for making felt hats;"
8449.00.90,Other
8450.11,Fully-automatic machines
8450.11.00,Fully-automatic machines
8450.12,"Other machines, with Built-in centrifugal drier"
8450.12.00,"Other machines, with built-in centrifugal drier"
8450.19,Other
8450.19.00,Other
8450.20,"- Machines, each of a dry linen capacity exceeding 10 kg"
8450.20.00,"Machines, each of a dry linen capacity exceeding 10 kg"
8450.90,Parts
8450.90.10,Parts of household type machines
8450.90.90,Other
8451.10,dry-cleaning machines
8451.10.10,Dry cleaning machines for cotton textile
8451.10.90,Other <br> Drying machines:
8451.21,-- Each of a dry linen capacity not exceeding 10 kg
8451.21.00,Each of a dry linen capacity not exceeding 10 kg
8451.29,Other
8451.29.00,Other
8451.30,Ironing machines and presses (including fusing presses)
8451.30.10,Hand ironing press
8451.30.90,Other
8451.40,"washing, bleaching or dyeing machines"
8451.40.11,For cotton textile
8451.40.19,Other <br> Dyeing machines:
8451.40.21,For cotton textile
8451.40.29,For other textile <br> Other:
8451.40.91,For washing and cleaning for woolen textile
8451.40.99,Other
8451.50.00,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics"
8451.80,Other machinery
8451.80.11,For cotton textile
8451.80.19,Other <br> Finishing machines:
8451.80.21,For coating or impregnating yarn or fabrics
8451.80.22,Other finishing processes for cotton textile
8451.80.29,Other
8451.80.90,Other
8451.90,Parts
8451.90.00,Parts
8452,"8440; furniture, bases and covers specially designed for sewing"
8452.10,Sewing machines of the Household type
8452.10.11,With electronic controls/electric motors
8452.10.12,Hand operated
8452.10.19,Other
8452.10.21,With electronic controls/electric motors
8452.10.22,Hand operated
8452.10.29,Other
8452.21,automatic units
8452.21.20,Other with electronic control/electric motors
8452.21.90,Other
8452.29.00,Other
8452.30,Sewing machine needles
8452.30.10,for household type sewing machines
8452.30.90,Other
8452.9011,"Furniture, bases and covers"
8452.9019,"Parts of furniture, bases & cover for sewing machines"
8452.90.91,Of household sewing machines
8452.90.99,Other
8453,"or for making or repairing footwear or other articles of hides, skins"
8453.10,"machinery for preparing, tanning or working hides, skins or leather"
8453.10.00,"Machinery for repairing, tanning or working hides, skins or leather"
8453.20,machinery for making or repairing footwear
8453.20.00,Machinery for making or repairing footwear
8453.80,Other machinery
8453.80.00,Other machinery
8453.90,Parts
8453.90.10,Of boot and shoe manufacturing machinery
8453.90.90,Other
8454.10,converters
8454.10.00,Converters
8454.20,Ingot moulds and ladles
8454.20.10,Ladles
8454.20.20,Ingot moulds
8454.30,Casting machines
8454.30.10,Die-casting machines
8454.30.20,Continuous casting machines
8454.30.90,Other
8454.90,Parts
8454.90.00,Parts
8455,Metal-rolling mills and rolls therefor.
8455.10,tube mills <br> Other rolling mills:
8455.10.00,Tube mills
8455.21,hot or combination hot and Cold
8455.21.10,Hot rolling mills:
8455.21.20,Combination of hot & cold rolling mills
8455.22,Cold
8455.22.00,Cold
8455.30,rolls for rolling mills
8455.30.00,Rolls for rolling mills
8455.90,Other Parts
8455.90.00,Other parts
84561100,Operated by laser
84561200,Operated by other light or photon beam processes
8456.20,operated by Ultrasonic processes
8456.20.00,Operated by ultrasonic processes
8456.30,operated by Electro-Discharge processes
8456.30.00,Operated by electro-discharge processes
84565000,- Water-jet cutting machines
8456.90,Other
8456.90.10,For dry-etching patterns on semi-conductor materials
8456.90.20,Electro-chemical machines
8456.90.90,Other
8457.10,Machining centres
8457.10.10,Horizontal
8457.10.20,Vertical
8457.20,unit construction machines (single station)
8457.20.10,Unit head boring
8457.20.20,Unit head drilling
8457.20.90,Other
8457.30,Multi-station transfer machines
8457.30.10,Rotary type
8457.30.20,In-line type
8457.30.90,Other
8458,Lathes (including turning centres) for removing metal.
8458.11,Numerically controlled
8458.11.00,Numerically controlled
8458.19,"Other <br> automatic, single spindle:"
8458.19.11,"Horizontal bar, swiss type"
8458.19.12,Base sliding head type
8458.19.13,Horizontal chucking
8458.19.19,Other
8458.19.90,Other
8458.91,Numerically controlled
8458.91.00,Numerically controlled
8458.99,Other
8458.99.10,"Automatic, multi-spindle bar"
8458.99.31,Capstans lathes
8458.99.32,Turrets lathes
8458.99.33,Capstan & turret combination lathes
8458.99.34,Copying lathes
8458.99.41,Crankshaft lathes
8458.99.42,Relieving lathes
8458.99.43,Wheel and axle lathes <br> Centre lathes:
8458.99.51,Tool-room type
8458.99.59,Other
8458.99.90,Other
8459,"boring, milling, threading or tapping by removing metal, other than"
8459.10,Way-type unit head machines <br> Other drilling machines
8459.10.00,Way-type unit head machines
8459.21,Numerically controlled
8459.21.00,Numerically controlled
8459.29,Other
8459.29.10,Bench and pillar
8459.29.20,"Pillar or columns, multi-spindle"
8459.29.30,Radial
8459.29.40,Deep hole
8459.29.50,Multi head drilling machines
8459.29.90,Other <br> Other boring-milling machines:
8459.31,Numerically controlled
8459.31.00,Numerically controlled
8459.39,Other
8459.39.10,Vertical turning or boring
8459.39.90,Other
845941,Numerically controlled:
84594110,"Jig boring machines, horizontal"
84594120,"Fine boring machines, horizontal"
84594130,"Fine boring machines, vertical"
84594190,Other
845949,Other
84594910,"Jig boring machines, horizontal"
84594920,"Fine boring machines, horizontal"
84594930,"Fine boring machines, vertical"
84594990,Other
8459.51.10,Horizontal
8459.51.20,Vertical
8459.51.30,Universal
8459.51.90,Others
8459.59,Other
8459.59.10,Horizontal
8459.59.20,Vertical
8459.59.30,Universal
8459.59.40,Ram type
8459.59.50,Die-sinking or pantograph
8459.59.90,Other <br> Other milling machines:
8459.61,Numerically controlled
8459.61.10,Piano milling
8459.61.90,Other
8459.69,Other
8459.69.10,"Bed type, horizontal"
8459.69.20,"Bed type, vertical"
8459.69.30,"Piano milling, single column"
8459.69.40,"Piano milling, double column"
8459.69.90,Other
8459.70,Other threading or tapping machines
8459.70.10,Die-type (screwing machines)
8459.70.20,Tapping machines
8460,"OR CERMETS BY MEANS OF GRINDING STONES, ABRASIVES OR"
84601200,Numerically controlled
8460.19,Other
8460.19.00,Other
8460.21,Numerically controlled
8460.21.00,Numerically controlled
84602200,"Centreless grinding machines, numerically controlled"
84602300,"Other cylindrical grinding machines, numerically controlled"
84602400,"Other, numerically controlled"
8460.29,Other
8460.29.10,Cylindrical grinders
8460.29.20,Internal grinders
8460.29.30,Centreless grinders
8460.29.40,Profile grinders
8460.29.90,Other
8460.31,Numerically controlled
8460.31.00,Numerically controlled
8460.39,Other
8460.39.10,"Grinder, tool/cutter"
8460.39.90,Other
8460.40,Honing or lapping machines <br> Honing machines :
8460.40.11,"Vertical, single spindle"
8460.40.12,"Vertical, multi-spindle"
8460.40.13,Horizontal
8460.40.19,Other
8460.40.20,Lapping machines
8460.90,Other
8460.90.10,Polishing & baffing machines
8460.90.90,Other
8461.20,Shaping or slotting machines
8461.20.11,Die & punch shaping machines
8461.20.19,Other
8461.20.20,Slotting machines
8461.30,broaching machines
8461.30.10,Vertical
8461.30.20,Horizontal
8461.30.90,Other
8461.40,"gear cutting, gear Grinding or gear finishing machines"
8461.40.11,Bevel gear cutting
8461.40.12,Gear cutting spiral bevel and /or hypoid
8461.40.13,Gear slotter/planar formed cutter type
8461.40.14,Gear milling formed disc cutter type
8461.40.19,Other <br> Gear grinding or gear finishing machines :
8461.40.21,Single/double wheel disc type gear grinder
8461.40.22,Formed wheel gear grinder
8461.40.23,Gear shaver
8461.40.24,"Gear tooth, rounding, chamfering/burring"
8461.40.25,"Gear shaper, spur and helical"
8461.40.26,"Gear hobber, spur and helical"
8461.40.29,Other
8461.50,sawing or cutting-off machines <br> sawing machines :
8461.50.11,"Band saw, horizontal"
8461.50.12,"Band saw, vertical"
8461.50.13,"Circular saw, cold"
8461.50.14,"Circular saw, hot"
8461.50.15,Hack saw
8461.50.19,Other <br> cutting-off machines :
8461.50.21,Abrasive wheel cutting-off machines
8461.50.29,Other
8461.90,Other
8461.90.00,Other
8462,"working metal by bending, folding, straightening, flattening,"
8462.10,Forging or die-Stamping machines (including presses) and Hammers
8462.10.11,"Steam/air, single frame"
8462.10.12,"Steam/air, double frame"
8462.10.13,Headers & upsetters
8462.10.14,"Double acting counter blow, air/steam"
8462.10.19,Other
8462.10.20,Forging machines
8462.21,Numerically controlled
8462.21.00,Numerically controlled
8462.29,Other
8462.29.10,Bending and/or straightening machines
8462.29.20,Press brakes
8462.29.30,Other rotary head & ram type
8462.31,Numerically controlled
8462.31.00,Numerically controlled
8462.39,Other
8462.39.10,Plate and sheet shears (guillotine)
8462.39.20,Bar and angle shearing and cropping
8462.41,Numerically controlled
8462.41.00,Numerically controlled
8462.49,Other
8462.49.10,Punching machines (including turret)
8462.49.20,"Combination of punching, shearing & cropping machines"
8462.49.30,Nibbling machines
8462.49.90,Other <br> Other
8462.91,hydraulic presses
8462.91.10,Hydraulic extension
8462.91.90,Other
8462.99,"Other <br> Pneumatic, inclinable and vertical presses :"
8462.99.11,Pneumatic presses
8462.99.12,Inclinable presses
8462.99.13,Vertical gap of frame presses
8462.99.14,Vertical straight presses
8462.99.15,Vertical forging presses
8462.99.19,Other
8462.99.20,Dieing/lobbing machine presses
8462.99.30,Transfer and multiple presses
8462.99.40,Horizontal presses
8462.99.50,Friction screw presses
8462.99.60,Knuckle joint presses
8462.99.70,Coining joint presses
8462.99.90,Other
8463.10.,"Draw-benches for bars, tubes, profiles, wire or the like"
8463.10.10,Wire and metal ribbon drawing machines
8463.10.20,Other wire making machines
8463.10.30,Tube drawing machine
8463.10.90,Other
8463.20.00,Thread rolling machines
8463.30.,Machines for working wire
8463.30.10,Wire grill or Knitting machine
8463.30.20,Spring coiling
8463.30.30,Chain making
8463.30.40,Nail-making machine
8463.90.,Other
8463.90.10,Riveting machines (excluding portable hand operated machine)
8463.90.20,Strip profiling
8463.90.30,Seaming machine for example for cans
8463.90.90,Other
8464.10.10,Granite cutting machines/ equipment
8464.10.90,Other
8464.20.00,Grinding or polishing machines
8464.90.00,Other
8465,"otherwise assembling) for working wood, cork, bone, hard rubber,"
84652000,Machining centres
8465.91,sawing machines
8465.91.00,Sawing machines
8465.92,"Planing, milling or moulding (by cutting) machines"
8465.92.00,"Planing, milling or moulding (by cutting) machines"
8465.93,"Grinding, sanding or polishing machines"
8465.93.00,"Grinding, sanding or polishing machines"
8465.94,Bending or assembling machines
8465.94.00,Bending or assembling machines
8465.95,Drilling or morticing machines
8465.95.00,Drilling or morticing machines
8465.96,"Splitting, slicing or paring machines"
8465.96.00,"Splitting, slicing or paring machines"
8465.99,Other
8465.99.10,Lathes
8465.99.90,Other
8466,"DIEHEADS, DIVIDING HEADS AND OTHER SPECIAL"
8466.10,tool holders and Self-opening dieheads
8466.10.10,Tool holders
8466.10.20,Self-opening dieheads
8466.20,work holders
8466.20.00,Work holders
8466.30,Dividing heads and other special attachments for machines
8466.30.10,Chucks
8466.30.20,Jigs & fixtures
8466.30.90,Other <br> Other
8466.91,-- For machines of heading 84.64
8466.91.00,For machines of heading 8464
8466.92,-- For machines of heading 84.65
8466.92.00,For machines of heading 8465
8466.93,-- For machines of headings 84.56 to 84.61
8466.93.10,"Parts and accessories of machine tools, for working metals"
8466.93.90,Other
8466.94,-- For machines of heading 84.62 or 84.63
8466.94.00,For machines of heading 8462 to 8463
8467.11,-- Rotary type (including combined rotary-percussion)
8467.11.10,Drills
8467.11.20,Hammers
8467.11.90,Others
8467.19,Other
8467.19.00,Other <br> With self-contained electric motor:
8467.21,Drills of all kinds
8467.21.00,Drills of all kinds
8467.22,Saws
8467.22.00,Saws
8467.29,Other
8467.29.00,Other <br> Other tools:
8467.81,chain Saws
8467.81.00,Chain saws
8467.89,Other
8467.89.10,"Compressed air grease guns, lubricators and similar appliances"
8467.89.20,Vibrators
8467.89.90,Other <br> Parts:
8467.91,of chain Saws
8467.91.00,Of chain saws
8467.92,of pneumatic tools
8467.92.00,Of pneumatic tools
8467.99,Other
8467.99.00,Other
8468,"or not capable of cutting, other than those of heading 8512.5; gas-"
8468.10,Hand-held Blow pipes
8468.10.00,Hand-held blow pipes
8468.20,- Other gas-operated machinery and apparatus
8468.20.10,Welding/cutting machines
8468.20.90,Other
8468.80,Other machinery and apparatus
8468.80.00,Other machinery and apparatus
8468.90,Parts
8468.90.00,Parts
8469.00.10,Omitted
8469.00.20,Omitted
8469.00.30,Omitted
8469.00.40,Omitted
8469.00.90,Omitted
8470.10,"source of electric power and Pocket-size data recording,"
8470.10.00,"electric power and pocket-size data recording, reproducing and displaying"
8470.21,Incorporating a printing device
8470.21.00,Incorporating a printing device
8470.29,Other
8470.29.00,Other
8470.30,Other calculating machines
8470.30.00,Other calculating machines
8470.50,Cash Registers
8470.50.10,Electrically operated
8470.50.20,Manually operated
8470.90,Other
8470.90.10,Electrically operated
8470.90.20,Manually operated
8471.30,"than 10 kg, consisting of a least a central processing unit, a"
8471.30.10,Personal computer
8471.30.90,Other <br> Other automatic data processing machines:
8471.41.10,Micro computer
8471.41.20,Large/main frame computer
8471.41.90,Other
8471.49,"Other, presented in the form of systems"
8471.49.00,"Other, presented in the form of systems"
8471.50,"8471.49, whether or not containing in the same housing one or two"
8471.50.00,whether or not containing in the same housing one or two of the following
8471.60.10,Combined input or out put units <br> Printer:
8471.60.24,Graphic printer
8471.60.25,Plotter
8471.60.29,Other
8471.60.40,Keyboard
8471.60.50,Scanners
8471.60.60,Mouse
8471.60.90,Other
8471.70,Storage units
8471.70.10,Floppy disc drives
8471.70.20,Hard disc drives
8471.70.30,Removable or exchangeable disc drives
8471.70.40,Magnetic tape drives
8471.70.50,Cartridge tape drive
8471.70.60,CD-ROM Drive
8471.70.70,DVD Drive
8471.70.90,Other
8471.80,Other units of automatic data processing machines
8471.80.00,Other units of automatic data processing machines
8471.90,Other
8471.90.00,Other
8472,"dispensers, coin-sorting machines, coin-counting or wrapping"
8472.10,Duplicating machines
8472.10.00,Duplicating machines
8472.30,"Envelopes or bands, machines for opening, closing or sealing mail"
8472.30.00,"bands, machines for opening, closing or sealing mail and machines, for"
8472.90,Other
8472.90.10,Stapling machines (staplers)
8472.90.20,Digital duplicator
8472.90.30,Automatic teller machines
8472.90.40,"Coin sorting machines, coin-counting or wrapping machines"
84729091,Word-processing machines
84729092,Automatic typewriters
84729093,"Braille typewriters, electric"
84729094,"Braille typewriters, non-electric"
84729095,"Other typewriters, electric or non-electric"
84729099,Other
8473,SOLELY OR PRINCIPALLY WITH MACHINES OF HEADINGS 8470 TO
8473.10,Parts and accessories of the machines of heading 8469
8473.10.00,Omitted
8473.29,Other
8473.29.00,Other
8473.30,Parts and accessories of the machines of heading 8471
8473.30.10,Microprocessors
8473.30.20,Motherboards
8473.30.30,Other mounted printed circuit boards
8473.30.40,Head stack <br> Other
8473.30.91,Network access controllers
8473.30.99,Other
8473.40,Parts and accessories of the machines of heading 8472
8473.40.10,"Parts of duplicating, hectograph/stencil machines"
8473.40.90,Other
8474,"agglomerating, shaping or moulding solid mineral fuels, ceramic"
8474.10,"sorting, screening, separating or washing machines"
8474.10.10,For coal
8474.10.90,Other
8474.20,crushing or Grinding machines
8474.20.10,For stone and mineral
8474.20.20,For coal
8474.20.90,Other <br> Mixing or kneading machines:
8474.31,Concrete or mortar mixers
8474.31.10,Concrete mixers
8474.31.20,Mortar mixers
8474.32,machines for mixing mineral substances with bitumen
8474.32.00,Machines for mixing mineral substances with bitumen
8474.39,Other
8474.39.00,Other
8474.80,Other machinery
8474.80.10,Brick and tile making machinery
8474.80.20,Ceramic and clay making machinery
8474.80.30,Machinery for forming foundry moulds of sand
8474.80.90,Other
8474.90,Parts
8474.90.00,Parts
8475,"valves or flashbulbs, in glass envelopes; machines for"
8475.10.00,"flashbulbs, in glass envelopes <br> Machines for manufacturing or hot"
8475.21,machines for making optical fibres and preforms thereof
8475.21.00,Machines for making optical fibres and performs thereof
8475.29,Other
8475.29.00,Other
8475.90,Parts
8475.90.00,Parts
8476,"cigarette, food or beverage machines), including money-changing"
8476.21,Incorporating heating or refrigerating devices
8476.21.10,Incorporating refrigerating devices
8476.21.20,Incorporating heating devices
8476.29,Other
